record_type,reaction,ea_kcal_mol,family,provenance_class,source,method,observable_type,rationale,constant_name,constant_value,constant_unit,conversion_expression
reaction,R0-sio-si-hydrolysis,27.019,siloxane-neutral,computed,qm/ si-neutral CALC-002,B3LYP/def2-SVP/DF,activation_free_energy,Direct Si-neutral survey free-energy barrier; not r2SCAN-3c.,,,,
reaction,R1-sio-si-condensation,24.419,siloxane-neutral,heuristic,R0 plus legacy Si reverse gap,anchor minus 2.6 kcal/mol,heuristic_reverse_barrier,Preserves only the legacy Si forward/reverse gap.,,,,
reaction,R2-sioal2-si-hydrolysis,27.019,sioal-si-neutral,computed,qm/ si-neutral CALC-002,B3LYP/def2-SVP/DF analogue,activation_free_energy_analogue,Explicit Si-neutral analogue; not r2SCAN-3c.,,,,
reaction,R3-sioal2-si-condensation,24.419,sioal-si-neutral,heuristic,R2 plus legacy Si reverse gap,anchor minus 2.6 kcal/mol,heuristic_reverse_barrier,Preserves only the legacy Si forward/reverse gap.,,,,
reaction,R4-sioal2-al-hydrolysis,32.221,sioal-al-neutral,computed,qm/ al-neutral CALC-003,B3LYP/def2-SVP/DF,activation_free_energy,Direct Al-neutral survey free-energy barrier; not r2SCAN-3c.,,,,
reaction,R5a-sioal2-al-condensation,27.421,sioal-al-neutral,heuristic,R4 plus legacy Al reverse gap,anchor minus 4.8 kcal/mol,heuristic_reverse_barrier,Preserves only the legacy Al forward/reverse gap.,,,,
reaction,R5b-sioal2-al-condensation,27.421,sioal-al-neutral,heuristic,R4 plus legacy Al reverse gap,anchor minus 4.8 kcal/mol,heuristic_reverse_barrier,Preserves only the legacy Al forward/reverse gap.,,,,
reaction,R6-second-stage-hydrolysis,16.969,connectivity-ladder,literature,Liu & Ruiz Pestana 2024 Q2,71 kJ/mol divided by 4.184,electronic_barrier_analogue,Literature Q2 connectivity analogue; pH catalysis is not encoded.,,,,
reaction,R7-second-stage-condensation,12.169,connectivity-ladder,heuristic,R6 plus legacy Al reverse gap,anchor minus 4.8 kcal/mol,heuristic_reverse_barrier,Preserves only the legacy Al forward/reverse gap.,,,,
reaction,R8a-sioha-hydrolysis,19.359,connectivity-ladder,literature,Liu & Ruiz Pestana 2024 Q3,81 kJ/mol divided by 4.184,electronic_barrier_analogue,Literature Q3 connectivity analogue; pH catalysis is not encoded.,,,,
reaction,R8b-sioha-hydrolysis,19.359,connectivity-ladder,literature,Liu & Ruiz Pestana 2024 Q3,81 kJ/mol divided by 4.184,electronic_barrier_analogue,Literature Q3 connectivity analogue; pH catalysis is not encoded.,,,,
reaction,R9-sioha-condensation,16.759,connectivity-ladder,heuristic,R8 plus legacy Si reverse gap,anchor minus 2.6 kcal/mol,heuristic_reverse_barrier,Preserves only the legacy Si forward/reverse gap.,,,,
reaction,R10-sial-hydrolysis,27.019,sioal-si-neutral,computed,qm/ si-neutral CALC-002,B3LYP/def2-SVP/DF analogue,activation_free_energy_analogue,Explicit Si-neutral analogue; not r2SCAN-3c.,,,,
reaction,R11-sial-condensation,24.419,sioal-si-neutral,heuristic,R10 plus legacy Si reverse gap,anchor minus 2.6 kcal/mol,heuristic_reverse_barrier,Preserves only the legacy Si forward/reverse gap.,,,,
reaction,R12-albr-hydrolysis,32.221,sioal-al-neutral,computed,qm/ al-neutral CALC-003,B3LYP/def2-SVP/DF analogue,activation_free_energy_analogue,Explicit Al-neutral analogue; not r2SCAN-3c.,,,,
reaction,R13-albr-condensation,27.421,sioal-al-neutral,heuristic,R12 plus legacy Al reverse gap,anchor minus 4.8 kcal/mol,heuristic_reverse_barrier,Preserves only the legacy Al forward/reverse gap.,,,,
reaction,R14-alohal-hydrolysis,19.0,al-o-al-analogue,literature,Xiao & Lasaga 1994/1996,base-scale literature analogue,activation_energy_analogue,Scale analogue only; pH catalysis is not encoded.,,,,
reaction,R15-alohal-condensation,14.2,al-o-al-analogue,heuristic,R14 plus legacy Al reverse gap,anchor minus 4.8 kcal/mol,heuristic_reverse_barrier,Preserves only the legacy Al forward/reverse gap.,,,,
reaction,adsorb-al,14.5,adsorption,heuristic,legacy kaolinite attachment bucket,legacy sign converted to Arrhenius Ea,heuristic_attachment_barrier,Retains the legacy 14.5 kcal/mol Al attachment bucket.,,,,
reaction,adsorb-si,6.4,adsorption,heuristic,legacy kaolinite attachment bucket,legacy sign converted to Arrhenius Ea,heuristic_attachment_barrier,Retains the legacy 6.4 kcal/mol Si attachment bucket.,,,,
reaction,desorb-al,32.221,cation-desorption,heuristic,CALC-003 anchor plus legacy environment ladder,mixed computed anchor and heuristic modifiers,mixed_desorption_proxy,CALC-005 is unavailable; this is not a computed desorption barrier.,,,,
reaction,desorb-si,30.053,cation-desorption,heuristic,r2SCAN-3c Si-neutral electronic value plus legacy environment ladder,mixed electronic anchor and heuristic modifiers,mixed_desorption_proxy,30.053 is electronic and CALC-005 is unavailable; this is not a computed desorption barrier.,,,,
condition,,,,,A9 program-card ambient-temperature execution contract,,thermodynamic_boundary_condition,"Ambient-temperature closure condition; validate, run, analyze, and verify reject any other value.",temperature,298.0,K,T = 298.0 K exactly
